,place_name,place_id,lat,lng,type
0,Studio Tributario Dr. Francesco Squeo,ChIJU4fWllLBhkcRYhb40abzOzw,45.467289,9.1828789,accounting
1,Studio Montanari & Associati,ChIJJ8wnsrLGhkcRdkPP8nKnuAg,45.4685205,9.185527299999999,accounting
2,Servizi Assocaaf Buonarroti S.r.l.,ChIJ71rGtnzBhkcRKLe1uGI7QWQ,45.4652147,9.1488274,accounting
3,Gentile & Partners,ChIJVSsUzOnGhkcRqyOnbDQ-Sgg,45.484089,9.211911,accounting
4,Grimaldi Antonio,ChIJ0RHlfyXEhkcRUraO1diBbSE,45.4488592,9.2134368,accounting
5,50&Più,ChIJC9FB2rvGhkcRs-KHxthwUw8,45.471288,9.201192999999998,accounting
6,Ballabio Fiorenzo,ChIJj0_brsHGhkcR8Gh9BvTFxuk,45.4781987,9.2090972,accounting
7,Studio Commercialista Rattazzo,ChIJ58UiX__DhkcR0J9bqfExp8A,45.4565785,9.1838031,accounting
8,Studio Di Donato Serenella,ChIJxxOYY7OihkcRV14P-Cy9ry4,45.46274,9.199102999999997,accounting
9,Baldi & Partners,ChIJP-jF1aTGhkcR9NAuPrj8mR4,45.4680802,9.1993539,accounting
10,G. Calchi Novati & Associati S.R.L. G. Calchi Novati & Associati Srl,ChIJC3nZyeLDhkcR3okdrQhMFiI,45.4586617,9.1692796,accounting
11,KPMG Italia,ChIJb68-fsXGhkcRd6XAVWUEUck,45.48363949999999,9.201588799999998,accounting
12,Studio Leonardi C.E.D. Di Leonardi Giulia,ChIJZYItJubDhkcRQNhtwqyP0lE,45.4522273,9.159573900000002,accounting
13,Commercialista Dolce Marcello,ChIJn-JHfWXBhkcRdriIZ5lb-uI,45.4703656,9.152949999999999,accounting
14,Mangipinto Dr. Angelo Commercialista,ChIJA3LpE47GhkcRf5_NKEWnDMA,45.4688424,9.221291100000002,accounting
15,Studio Commercialista Giorgino,ChIJc0LjcujGhkcRTldK6bHPqaw,45.48397809999999,9.2149737,accounting
16,Studio Commercialista Pareschi Rag. Tiziano,ChIJJ90JrG7ChkcRkDkLETpqSzU,45.4411546,9.1003531,accounting
17,Studio Ferrari della dott.ssa Anna Ferrari,ChIJfQcMlbXGhkcRDYILRgnVaRo,45.4757332,9.1916228,accounting
18,Studio Associato Donato,ChIJYVHxZ2nBhkcRADrrUVBzBl4,45.47421680000001,9.159210999999999,accounting
19,DATEV KOINOS s.r.l.,ChIJfTTPlEfBhkcReFNnbM4P1Rk,45.47728129999999,9.1846756,accounting
20,Milan Linate Airport,ChIJOWJsUarIhkcRYNL_HukulK8,45.452176,9.276308,airport
21,Milan Linate Prime,ChIJz6BY-AjGhkcRvcNsTMKBOng,45.4538366,9.261438099999998,airport
22,Signature Flight Support LIN - Milan Linate Airport,ChIJqfjocwjGhkcR18A8Hw-pFbw,45.45361299999999,9.261358,airport
23,Aero Club Milano,ChIJ24-qNqm_hkcRt2XwyimPfIY,45.5362041,9.1993226,airport
24,British Airways Word Cargo-Modulo Merci Linate,ChIJoQvCYw3GhkcRr3FCzNHOkOY,45.4619122,9.254727599999999,airport
25,Eliporto Palazzo Lombardia,ChIJOYuUANLGhkcRyyU8LBvkPL4,45.48601719999999,9.196304999999999,airport
26,"Lovelycaribe per Viaggi a Cuba, Repubblica Dominicana e Messico",ChIJcybjKRTHhkcRZ5VyQfC2mMM,45.49045829999999,9.205644000000001,airport
27,Hospital Helipad,ChIJG5GqQMrBhkcR5I3-LvYs-RQ,45.5121086,9.1856687,airport
28,Novaris Milano,ChIJKxUeOqrBhkcRPnp_d8wdtKg,45.5013584,9.138356000000002,airport
29,GAT privat aviation,ChIJk1NVegjGhkcRsd9vzxMqq5Q,45.4540976,9.261415299999998,airport
30,Eliporto Bicocca,ChIJ1zIl_UXHhkcRxBTzwHqDWZY,45.5182966,9.2120758,airport
31,AEROPORTO LINATE,ChIJMTp9BozJhkcR75RFTldcdZ0,45.46141900000001,9.277554,airport
32,"HELIPORT - Hospital ""San Raffaele"" (MI)",ChIJjzKs-bvHhkcRQIIKUBkSFMw,45.5043487,9.260267599999999,airport
33,Hospital Helipark,ChIJ84vp_rvHhkcREUMJV9uqdzg,45.5042862,9.260561299999999,airport
34,Milan Linate Airport,ChIJAaVFUqbIhkcRzZD_dtY76BQ,45.46208439999999,9.2793881,airport
35,Enac,ChIJ42iQsAXJhkcRYfWzNNezQag,45.46148590000001,9.2809542,airport
36,Bresso Airport,ChIJOQ59VFa_hkcRdWON7KCEi24,45.53543639999999,9.198177,airport
37,VARCO 2 LINATE,ChIJzcF5FbPIhkcRl89njNnondA,45.4511753,9.288538199999998,airport
38,Eliporto Bresso,ChIJHcMuLFS_hkcRwoxdAvCFgBg,45.53936289999999,9.204955,airport
39,Eliporto Expo,ChIJWS0eGzbrhkcR0LLj8dRBShM,45.5209561,9.104063400000001,airport
40,Acquatica Park,ChIJeXGG0hrqhkcRhJIw2fhaCiY,45.4725634,9.0812878,amusement_park
41,Girolami Giostre Milano,ChIJX43VsNnDhkcRyaDbXS7-ID8,45.458477,9.148744,amusement_park
42,Escapers Milano,ChIJDVM5wCrBhkcR1lcujMZOLHM,45.4945123,9.1920963,amusement_park
43,Escape Room Milano - Effugio - Fugacemente,ChIJka2yJRjHhkcRJeaZz1awljs,45.5026091,9.221369100000002,amusement_park
44,Minigolf Adventure,ChIJaxpqNxbGhkcRxL4EOI4r9Fo,45.470757,9.265414199999999,amusement_park
45,Children Park,ChIJg0ivDaLqhkcR7g-z6KvaM9A,45.52251560000001,9.102216199999999,amusement_park
46,Trennolandia,ChIJK0MLOubBhkcR7Dmh4OAhb4g,45.4806421,9.106499399999999,amusement_park
47,Jungle Beat Fun Location,ChIJT78ek0bChkcR_ihbw1niM8Y,45.4413185,9.114932999999999,amusement_park
48,Area Gioco Bambini,ChIJ5xo96gDEhkcRo0athuJRUBU,45.4550939,9.1825241,amusement_park
49,Little Train Of The Gardens,ChIJW_2ZnLfGhkcR9kn_0IkaOXQ,45.4743219,9.199532,amusement_park
50,Time2Enjoy di Play S.p.A.,ChIJa-hQP_fHhkcRwpEMQ1Y3v8w,45.4621187,9.2077976,amusement_park
51,Simulation Project Srl,ChIJCQGS7_7DhkcRl-1w5QW2qWI,45.4488387,9.143669800000001,amusement_park
52,Zero-Gravity,ChIJC9QDLl_GhkcRpj3YsU4Bddo,45.47890839999999,9.237261399999998,amusement_park
53,The Gate - Dentro l'Abisso,ChIJ3xBGkHPFhkcRdMT1ZzbANoo,45.44172830000001,9.2391957,amusement_park
54,Laghetto del Parco della Vettabbia,ChIJixJbL6_FhkcRBqzTM-E7_2U,45.4224061,9.2258566,amusement_park
55,Children's Park,ChIJgwixYxvChkcRJAMzHilPvG4,45.4600635,9.102843,amusement_park
56,Area Relax,ChIJs42jdPbHhkcR9lbqgCVMpts,45.5218511,9.212989499999999,amusement_park
57,Clues Hunt,ChIJmX4r9ULHhkcRs5Kal4pXONU,45.5195216,9.223455699999997,amusement_park
58,LightingBall Milano - Calcio al buio,ChIJ9R4_SqnBhkcRG2HMx-GU32c,45.525602,9.158123000000002,amusement_park
59,Horror VR Experience,ChIJWQuO6x7JhkcR1zuS4kw3FrU,45.47442789999999,9.285758500000002,amusement_park
60,Acquario Civico di Milano,ChIJbbKLXknBhkcR0NaOVaDdRZg,45.4739911,9.180730699999998,aquarium
61,Animal Garden di Bidoggia,ChIJLeWLeODGhkcRp7b4iuJwY5Y,45.49201799999999,9.216032499999997,aquarium
62,Galleria Pace s.r.l.,ChIJxZJivLTGhkcR4xQY8Vh0PHE,45.4735062,9.187541,art_gallery
63,Il Ponte Casa d'Aste - Via Pitteri 8/10,ChIJAd5jaULGhkcRo4f0M6B4TGU,45.4736291,9.2498494,art_gallery
64,Revel - Scalo d'Isola,ChIJF3V4fCzBhkcRJW7-elgRWMg,45.49089000000001,9.189006,art_gallery
65,ProjectB Gallery,ChIJaR2GY7HGhkcRCWJMIMB7iZY,45.482763,9.183392999999999,art_gallery
66,Gruppo bancario Credito Valtellinese,ChIJN-SinVDBhkcRrj_6RUL-1mI,45.46566540000001,9.1728781,art_gallery
67,Galleria d'arte contemporanea l'Affiche,ChIJT3UXkqvGhkcRIKTXEjtKsWY,45.4644508,9.178411500000001,art_gallery
68,Gió Marconi,ChIJtf5CuwcyVUARYQ2uhf7-wL8,45.47892100000001,9.207637,art_gallery
69,Furlarte di Furlanetto Luca,ChIJHR2zG3vBhkcR-umKV-uqYEA,45.4679941,9.148270600000002,art_gallery
70,Fondazione Forma Meravigli,ChIJT7hxGQbEhkcRipRHWi6dxAs,45.46580280000001,9.1842278,art_gallery
