,id,name,address,types,rating,rating_n,international_phone_number,current_popularity,populartimes,coordinates.lat,coordinates.lng,time_spent,time_wait
0,ChIJOWJsUarIhkcRYNL_HukulK8,Milan Linate Airport,"Viale Enrico Forlanini, 20090 Segrate MI, Italy","['airport', 'point_of_interest', 'establishment']",3.6,1728.0,+39 02 232323,5.0,"[{'name': 'Monday', 'data': [9, 4, 2, 3, 10, 28, 54, 72, 83, 93, 100, 97, 89, 81, 78, 80, 84, 84, 80, 70, 56, 42, 29, 18]}, {'name': 'Tuesday', 'data': [10, 5, 3, 3, 10, 27, 50, 69, 79, 85, 88, 87, 81, 75, 73, 74, 77, 77, 72, 63, 50, 36, 24, 15]}, {'name': 'Wednesday', 'data': [8, 4, 2, 3, 10, 26, 46, 63, 74, 82, 86, 84, 78, 74, 75, 80, 84, 85, 81, 71, 57, 42, 29, 18]}, {'name': 'Thursday', 'data': [10, 5, 3, 4, 15, 27, 44, 63, 79, 89, 90, 85, 79, 76, 79, 85, 89, 87, 80, 72, 63, 50, 33, 17]}, {'name': 'Friday', 'data': [7, 3, 3, 7, 10, 25, 44, 59, 70, 80, 88, 88, 84, 80, 81, 87, 93, 96, 92, 81, 66, 49, 33, 20]}, {'name': 'Saturday', 'data': [11, 6, 3, 4, 12, 22, 36, 51, 64, 71, 72, 69, 65, 64, 65, 65, 60, 51, 42, 37, 34, 29, 20, 11]}, {'name': 'Sunday', 'data': [5, 2, 2, 5, 6, 14, 27, 40, 52, 58, 59, 59, 59, 61, 63, 67, 73, 79, 82, 78, 65, 48, 31, 18]}]",45.452176,9.276308,,
1,ChIJz6BY-AjGhkcRvcNsTMKBOng,Milan Linate Prime,"Viale dell'Aviazione, 65, 20138 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",4.4,14.0,+39 02 7485 4772,,"[{'name': 'Monday', 'data': [2, 2, 2, 2, 6, 16, 31, 48, 65, 79, 87, 88, 84, 76, 68, 59, 51, 44, 38, 31, 24, 17, 11, 5]}, {'name': 'Tuesday', 'data': [1, 2, 2, 2, 2, 8, 30, 58, 85, 100, 94, 76, 58, 51, 55, 62, 64, 56, 40, 23, 11, 5, 3, 3]}, {'name': 'Wednesday', 'data': [2, 2, 2, 2, 2, 5, 19, 35, 51, 59, 58, 53, 56, 65, 76, 79, 73, 59, 44, 34, 28, 22, 17, 12]}, {'name': 'Thursday', 'data': [6, 2, 2, 2, 3, 11, 22, 35, 51, 67, 79, 89, 93, 92, 86, 78, 68, 58, 48, 38, 29, 21, 14, 7]}, {'name': 'Friday', 'data': [3, 2, 2, 2, 2, 6, 21, 41, 62, 78, 85, 82, 76, 74, 75, 75, 67, 50, 32, 21, 17, 17, 16, 12]}, {'name': 'Saturday', 'data': [5, 2, 2, 2, 2, 4, 15, 29, 41, 49, 50, 47, 41, 39, 39, 41, 41, 37, 28, 19, 13, 10, 7, 5]}, {'name': 'Sunday', 'data': [2, 2, 2, 2, 2, 4, 14, 25, 39, 51, 62, 69, 71, 70, 66, 60, 52, 44, 37, 28, 20, 12, 5, 2]}]",45.4538366,9.261438099999998,,
2,ChIJqfjocwjGhkcR18A8Hw-pFbw,Signature Flight Support LIN - Milan Linate Airport,"Viale dell'Aviazione, 65, 20138 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",4.0,,+39 02 7485 4804,,,45.45361299999999,9.261358,,
3,ChIJS1r_8zPphkcRdEtdU7qeqGA,Volo Club Milano,"Cascina Roncaglia, 1, 20080 Cascina Roncaglia MI, Italy","['airport', 'point_of_interest', 'establishment']",4.1,27.0,+39 02 9011 9825,,,45.4493294,8.9976894,,
4,ChIJq3aCP_vvhkcRQbQwXoQ0rfA,Campo Volo dei Navigli,"20081 Abbiategrasso, Metropolitan City of Milan, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.4138714,8.8964781,,
5,ChIJ6fH7riFLgUcR7HpYwm3Xq4U,Baialupo - VI HQ,"Via per Pozzo D'adda, 29, 20062 Cassano d'Adda MI, Italy","['airport', 'point_of_interest', 'establishment']",5.0,8.0,+39 0363 62557,,,45.5532006,9.5055193,,
6,ChIJaQN9kRSQhkcRrJnIipXbI0A,Campo Volo,"22070 Fenegrò, Province of Como, Italy","['airport', 'point_of_interest', 'establishment']",5.0,5.0,,,,45.6866904,8.9963765,,
7,ChIJ24-qNqm_hkcRt2XwyimPfIY,Aero Club Milano,"Viale Antonio Gramsci, 1, 20091 Bresso MI, Italy","['airport', 'university', 'point_of_interest', 'establishment']",4.1,134.0,+39 02 610 1625,,,45.5362041,9.1993226,,
8,ChIJoQvCYw3GhkcRr3FCzNHOkOY,British Airways Word Cargo-Modulo Merci Linate,"Viale Enrico Forlanini, 65, 20134 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",5.0,1.0,+39 02 7010 0210,,,45.4619122,9.254727599999999,,
9,ChIJOYuUANLGhkcRyyU8LBvkPL4,Eliporto Palazzo Lombardia,"Piazza Città di Lombardia, 20124 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.48601719999999,9.196304999999999,,
10,ChIJcybjKRTHhkcRZ5VyQfC2mMM,"Lovelycaribe per Viaggi a Cuba, Repubblica Dominicana e Messico","Via Ponte Seveso, 41, 20125 Milano MI, Italy","['travel_agency', 'car_rental', 'airport', 'real_estate_agency', 'point_of_interest', 'establishment']",3.7,3.0,+39 02 3672 8601,,,45.49045829999999,9.205644000000001,,
11,ChIJG5GqQMrBhkcR5I3-LvYs-RQ,Hospital Helipad,"Via Ettore Majorana, 20162 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.5121086,9.1856687,,
12,ChIJKxUeOqrBhkcRPnp_d8wdtKg,Novaris Milano,"Via Barnaba Oriani, 7, 20156 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",,,+39 348 243 7988,,,45.5013584,9.138356000000002,,
13,ChIJk1NVegjGhkcRsd9vzxMqq5Q,GAT privat aviation,"Viale dell'Aviazione, 65, 20138 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",,,+39 02 7485 45101,,,45.4540976,9.261415299999998,,
14,ChIJ1zIl_UXHhkcRxBTzwHqDWZY,Eliporto Bicocca,"Bicocca, 20126 Milan, Metropolitan City of Milan, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.5182966,9.2120758,,
15,ChIJMTp9BozJhkcR75RFTldcdZ0,AEROPORTO LINATE,"Aeroporto Linate - Partenze, 20090 Novegro-Tregarezzo MI, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.46141900000001,9.277554,,
16,ChIJjzKs-bvHhkcRQIIKUBkSFMw,"HELIPORT - Hospital ""San Raffaele"" (MI)","c/o Ospedale ""San Raffaele"" (MI), 20132 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",4.8,,+39 02 26431,,,45.5043487,9.260267599999999,,
17,ChIJ84vp_rvHhkcREUMJV9uqdzg,Hospital Helipark,"Cascina Gobba, 20132 Milano MI, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.5042862,9.260561299999999,,
18,ChIJAaVFUqbIhkcRzZD_dtY76BQ,Milan Linate Airport,"Viale Enrico Forlanini, 20090 Segrate MI, Italy","['airport', 'point_of_interest', 'establishment']",3.6,1728.0,+39 02 232323,5.0,"[{'name': 'Monday', 'data': [9, 4, 2, 3, 10, 28, 54, 72, 83, 93, 100, 97, 89, 81, 78, 80, 84, 84, 80, 70, 56, 42, 29, 18]}, {'name': 'Tuesday', 'data': [10, 5, 3, 3, 10, 27, 50, 69, 79, 85, 88, 87, 81, 75, 73, 74, 77, 77, 72, 63, 50, 36, 24, 15]}, {'name': 'Wednesday', 'data': [8, 4, 2, 3, 10, 26, 46, 63, 74, 82, 86, 84, 78, 74, 75, 80, 84, 85, 81, 71, 57, 42, 29, 18]}, {'name': 'Thursday', 'data': [10, 5, 3, 4, 15, 27, 44, 63, 79, 89, 90, 85, 79, 76, 79, 85, 89, 87, 80, 72, 63, 50, 33, 17]}, {'name': 'Friday', 'data': [7, 3, 3, 7, 10, 25, 44, 59, 70, 80, 88, 88, 84, 80, 81, 87, 93, 96, 92, 81, 66, 49, 33, 20]}, {'name': 'Saturday', 'data': [11, 6, 3, 4, 12, 22, 36, 51, 64, 71, 72, 69, 65, 64, 65, 65, 60, 51, 42, 37, 34, 29, 20, 11]}, {'name': 'Sunday', 'data': [5, 2, 2, 5, 6, 14, 27, 40, 52, 58, 59, 59, 59, 61, 63, 67, 73, 79, 82, 78, 65, 48, 31, 18]}]",45.46208439999999,9.2793881,,
19,ChIJ42iQsAXJhkcRYfWzNNezQag,Enac,"Aeroporto di Milano Linate, 20090, 20090 Novegro-Tregarezzo MI, Italy","['airport', 'point_of_interest', 'establishment']",,,,,,45.46148590000001,9.2809542,,
20,ChIJceFw2jbEhkcRHB2ee8-txr8,Credito Artigiano Agenzia 2,"Viale Brenta, 3, 20139 Milano MI, Italy","['atm', 'bank', 'finance', 'point_of_interest', 'establishment']",3.2,6.0,+39 02 5220 3211,,,45.441152,9.214351200000001,,
21,ChIJMT7Vke22hkcRrbQiQ12GF4c,Credito Valtellinese Spa,"Via Roma, 35, 20040 Caponago MB, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",,,+39 02 9574 2067,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 42, 53, 19, 26, 38, 7, 7, 11, 11, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 50, 46, 23, 11, 15, 26, 19, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 88, 100, 50, 15, 11, 11, 15, 15, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 11, 46, 61, 34, 11, 11, 19, 26, 26, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 46, 50, 38, 26, 19, 19, 19, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.5668702,9.376966399999997,,
22,ChIJl--F_knEhkcRuadYzqPuTp4,Banca Popolare di Sondrio S.p.A.,"Via Marco D'Agrate, 11, 20139 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",3.7,3.0,+39 02 573 1381,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 59, 100, 97, 59, 27, 50, 56, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 54, 93, 84, 45, 34, 31, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 54, 65, 61, 54, 36, 25, 22, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 63, 95, 63, 18, 2, 45, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 22, 50, 72, 68, 56, 56, 59, 47, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.4367102,9.2150914,"[15, 15]",
23,ChIJm1vubZPAhkcRMZ_l4i4LkdY,Credito Artigiano Agenzia 6,"Via Alessandro Astesani, 24, 20161 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",4.3,4.0,+39 02 6620 0400,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 32, 77, 100, 70, 34, 25, 31, 31, 22, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 58, 50, 51, 74, 56, 37, 39, 39, 32, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 41, 51, 39, 60, 65, 17, 22, 36, 32, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 51, 70, 68, 53, 39, 34, 31, 22, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 55, 62, 53, 46, 46, 46, 37, 25, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.51821839999999,9.1708826,"[20, 20]",
24,ChIJydYPHizEhkcRXGSMe1vy1UE,Banca Popolare di Milano,"Via Alberto Caroncini, 6, 20137 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",3.0,2.0,+39 02 546 2331,,,45.4497068,9.220653499999997,,
25,ChIJR1EmR2jHhkcRIBth2F0j_3M,Banco BPM Spa,"Viale Monza, 343, 20126 Milano MI, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",2.3,6.0,+39 02 257 2342,,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 16, 49, 87, 100, 76, 49, 43, 32, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 21, 63, 47, 40, 40, 25, 25, 34, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 23, 60, 63, 43, 40, 30, 27, 61, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 21, 50, 70, 52, 25, 21, 36, 36, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 29, 56, 76, 70, 47, 21, 18, 63, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",45.5199761,9.2266417,"[20, 20]",
26,ChIJeZyr1CK8hkcRYbjRYY5CkMQ,Banco BPM Spa,"Via G. Garibaldi, 8, 20832 Desio MB, Italy","['bank', 'atm', 'finance', 'point_of_interest', 'establishment']",,,+39 0362 300663,,,45.61623820000001,9.2066955,,
