,id,name,address,types,international_phone_number,coordinates.lat,coordinates.lng,rating,rating_n,populartimes,time_spent,current_popularity,time_wait
0,ChIJU4fWllLBhkcRYhb40abzOzw,Studio Tributario Dr. Francesco Squeo,"Via Manfredo Camperio, 14, 20123 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 8739 0534,45.467289,9.1828789,,,,,,
1,ChIJJ8wnsrLGhkcRdkPP8nKnuAg,Studio Montanari & Associati,"Via del Lauro, 9, 20121 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 8983 6899,45.4685205,9.185527299999999,,,,,,
2,ChIJ71rGtnzBhkcRKLe1uGI7QWQ,Servizi Assocaaf Buonarroti S.r.l.,"Via Giuseppe Frua, 16, 20146 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 4819 3232,45.4652147,9.1488274,3.0,4.0,,,,
3,ChIJVSsUzOnGhkcRqyOnbDQ-Sgg,Gentile & Partners,"Via Giovanni Battista Pergolesi, 11, 20124 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 669 4966,45.484089,9.211911,1.0,1.0,,,,
4,ChIJ0RHlfyXEhkcRUraO1diBbSE,Grimaldi Antonio,"Via Lattanzio, 7, 20137 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 5501 0954,45.4488592,9.2134368,,,,,,
5,ChIJC9FB2rvGhkcRs-KHxthwUw8,50&Più,"Corso Venezia, 47, 20121 Milano MI, Italy","['accounting', 'finance', 'local_government_office', 'point_of_interest', 'establishment']",+39 02 7601 3399,45.471288,9.201192999999998,4.1,10.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 84, 100, 52, 33, 38, 37, 25, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 42, 72, 79, 57, 33, 35, 47, 35, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 55, 83, 83, 57, 38, 50, 50, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 37, 66, 74, 62, 54, 55, 50, 33, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 45, 79, 84, 59, 45, 45, 33, 11, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]","[30, 90]",,
6,ChIJj0_brsHGhkcR8Gh9BvTFxuk,Ballabio Fiorenzo,"Corso Buenos Aires, 28, 20124 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 2952 2616,45.4781987,9.2090972,5.0,1.0,,,,
7,ChIJ58UiX__DhkcR0J9bqfExp8A,Studio Commercialista Rattazzo,"Via Molino delle Armi, 25, 20123 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 8707 5618,45.4565785,9.1838031,5.0,1.0,,,,
8,ChIJxxOYY7OihkcRV14P-Cy9ry4,Studio Di Donato Serenella,"Corso di Porta Vittoria, 13, 20121 Milano MI, Italy","['accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 3650 9054,45.46274,9.199102999999997,,,,,,
9,ChIJP-jF1aTGhkcR9NAuPrj8mR4,Baldi & Partners,"Via S. Damiano, 9, 20122 Milano MI, Italy","['lawyer', 'accounting', 'finance', 'point_of_interest', 'establishment']",+39 02 5831 8214,45.4680802,9.1993539,,,,,,
